state,county_name,year,state_po,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
ALABAMA,MACON,2016,AL,1087,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,7566,9140,20260225,TOTAL
ALABAMA,MACON,2016,AL,1087,US PRESIDENT,OTHER,OTHER,143,9140,20260225,TOTAL
ALABAMA,MADISON,2016,AL,1089,US PRESIDENT,DONALD TRUMP,REPUBLICAN,89520,163389,20260225,TOTAL
ALABAMA,MADISON,2016,AL,1089,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,62822,163389,20260225,TOTAL
ALABAMA,MADISON,2016,AL,1089,US PRESIDENT,OTHER,OTHER,11047,163389,20260225,TOTAL
ALABAMA,MARENGO,2016,AL,1091,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5233,10994,20260225,TOTAL
ALABAMA,MARENGO,2016,AL,1091,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5615,10994,20260225,TOTAL
ALABAMA,MARENGO,2016,AL,1091,US PRESIDENT,OTHER,OTHER,146,10994,20260225,TOTAL
ALABAMA,MARION,2016,AL,1093,US PRESIDENT,DONALD TRUMP,REPUBLICAN,11274,12984,20260225,TOTAL
ALABAMA,MARION,2016,AL,1093,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1432,12984,20260225,TOTAL
ALABAMA,MARION,2016,AL,1093,US PRESIDENT,OTHER,OTHER,278,12984,20260225,TOTAL
ALABAMA,MARSHALL,2016,AL,1095,US PRESIDENT,DONALD TRUMP,REPUBLICAN,29233,35316,20260225,TOTAL
ALABAMA,MARSHALL,2016,AL,1095,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4917,35316,20260225,TOTAL
ALABAMA,MARSHALL,2016,AL,1095,US PRESIDENT,OTHER,OTHER,1166,35316,20260225,TOTAL
ALABAMA,MOBILE,2016,AL,1097,US PRESIDENT,DONALD TRUMP,REPUBLICAN,95116,172737,20260225,TOTAL
ALABAMA,MOBILE,2016,AL,1097,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,72186,172737,20260225,TOTAL
ALABAMA,MOBILE,2016,AL,1097,US PRESIDENT,OTHER,OTHER,5435,172737,20260225,TOTAL
ALABAMA,MONROE,2016,AL,1099,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5795,10271,20260225,TOTAL
ALABAMA,MONROE,2016,AL,1099,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4332,10271,20260225,TOTAL
ALABAMA,MONROE,2016,AL,1099,US PRESIDENT,OTHER,OTHER,144,10271,20260225,TOTAL
ALABAMA,MONTGOMERY,2016,AL,1101,US PRESIDENT,DONALD TRUMP,REPUBLICAN,34003,95878,20260225,TOTAL
ALABAMA,MONTGOMERY,2016,AL,1101,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,58916,95878,20260225,TOTAL
ALABAMA,MONTGOMERY,2016,AL,1101,US PRESIDENT,OTHER,OTHER,2959,95878,20260225,TOTAL
ALABAMA,MORGAN,2016,AL,1103,US PRESIDENT,DONALD TRUMP,REPUBLICAN,37486,50644,20260225,TOTAL
ALABAMA,MORGAN,2016,AL,1103,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,11254,50644,20260225,TOTAL
ALABAMA,MORGAN,2016,AL,1103,US PRESIDENT,OTHER,OTHER,1904,50644,20260225,TOTAL
ALABAMA,PERRY,2016,AL,1105,US PRESIDENT,DONALD TRUMP,REPUBLICAN,1407,5278,20260225,TOTAL
ALABAMA,PERRY,2016,AL,1105,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3824,5278,20260225,TOTAL
ALABAMA,PERRY,2016,AL,1105,US PRESIDENT,OTHER,OTHER,47,5278,20260225,TOTAL
ALABAMA,PICKENS,2016,AL,1107,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5456,9542,20260225,TOTAL
ALABAMA,PICKENS,2016,AL,1107,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3972,9542,20260225,TOTAL
ALABAMA,PICKENS,2016,AL,1107,US PRESIDENT,OTHER,OTHER,114,9542,20260225,TOTAL
ALABAMA,PIKE,2016,AL,1109,US PRESIDENT,DONALD TRUMP,REPUBLICAN,7693,13168,20260225,TOTAL
ALABAMA,PIKE,2016,AL,1109,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5056,13168,20260225,TOTAL
ALABAMA,PIKE,2016,AL,1109,US PRESIDENT,OTHER,OTHER,419,13168,20260225,TOTAL
ALABAMA,RANDOLPH,2016,AL,1111,US PRESIDENT,DONALD TRUMP,REPUBLICAN,7705,10187,20260225,TOTAL
ALABAMA,RANDOLPH,2016,AL,1111,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2291,10187,20260225,TOTAL
ALABAMA,RANDOLPH,2016,AL,1111,US PRESIDENT,OTHER,OTHER,191,10187,20260225,TOTAL
ALABAMA,RUSSELL,2016,AL,1113,US PRESIDENT,DONALD TRUMP,REPUBLICAN,9210,19256,20260225,TOTAL
ALABAMA,RUSSELL,2016,AL,1113,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,9579,19256,20260225,TOTAL
ALABAMA,RUSSELL,2016,AL,1113,US PRESIDENT,OTHER,OTHER,467,19256,20260225,TOTAL
ALABAMA,SHELBY,2016,AL,1117,US PRESIDENT,DONALD TRUMP,REPUBLICAN,73020,101254,20260225,TOTAL
ALABAMA,SHELBY,2016,AL,1117,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,22977,101254,20260225,TOTAL
ALABAMA,SHELBY,2016,AL,1117,US PRESIDENT,OTHER,OTHER,5257,101254,20260225,TOTAL
ALABAMA,ST. CLAIR,2016,AL,1115,US PRESIDENT,DONALD TRUMP,REPUBLICAN,31651,38400,20260225,TOTAL
ALABAMA,ST. CLAIR,2016,AL,1115,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5589,38400,20260225,TOTAL
ALABAMA,ST. CLAIR,2016,AL,1115,US PRESIDENT,OTHER,OTHER,1160,38400,20260225,TOTAL
ALABAMA,SUMTER,2016,AL,1119,US PRESIDENT,DONALD TRUMP,REPUBLICAN,1581,6411,20260225,TOTAL
ALABAMA,SUMTER,2016,AL,1119,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4746,6411,20260225,TOTAL
ALABAMA,SUMTER,2016,AL,1119,US PRESIDENT,OTHER,OTHER,84,6411,20260225,TOTAL
ALABAMA,TALLADEGA,2016,AL,1121,US PRESIDENT,DONALD TRUMP,REPUBLICAN,20614,33407,20260225,TOTAL
ALABAMA,TALLADEGA,2016,AL,1121,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,12121,33407,20260225,TOTAL
ALABAMA,TALLADEGA,2016,AL,1121,US PRESIDENT,OTHER,OTHER,672,33407,20260225,TOTAL
ALABAMA,TALLAPOOSA,2016,AL,1123,US PRESIDENT,DONALD TRUMP,REPUBLICAN,13594,19486,20260225,TOTAL
ALABAMA,TALLAPOOSA,2016,AL,1123,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5519,19486,20260225,TOTAL
ALABAMA,TALLAPOOSA,2016,AL,1123,US PRESIDENT,OTHER,OTHER,373,19486,20260225,TOTAL
ALABAMA,TUSCALOOSA,2016,AL,1125,US PRESIDENT,DONALD TRUMP,REPUBLICAN,47723,82700,20260225,TOTAL
ALABAMA,TUSCALOOSA,2016,AL,1125,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,31762,82700,20260225,TOTAL
ALABAMA,TUSCALOOSA,2016,AL,1125,US PRESIDENT,OTHER,OTHER,3215,82700,20260225,TOTAL
ALABAMA,WALKER,2016,AL,1127,US PRESIDENT,DONALD TRUMP,REPUBLICAN,24266,29472,20260225,TOTAL
ALABAMA,WALKER,2016,AL,1127,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4497,29472,20260225,TOTAL
ALABAMA,WALKER,2016,AL,1127,US PRESIDENT,OTHER,OTHER,709,29472,20260225,TOTAL
